_id,nombre_proyecto,fecha_inicio,fecha_fin,descripcion_proyecto,costo
1,Estudio pro construcción aereopuerto de Mocoa,2023-11-11T00:00:00.000Z,2024-09-26T00:00:00.000Z,Descripción del proyecto 1,34933
2,"Análisis de tierras en pro de mitigar riesgos por desborde de ríos""",2023-12-16T00:00:00.000Z,2024-04-26T00:00:00.000Z,Descripción del proyecto 2,46386
3,"Estudio de suelos  preconstrucción puente peatonal en Avenid Colombia""",2023-05-21T00:00:00.000Z,2023-07-01T00:00:00.000Z,Descripción del proyecto 3,27187
4,Estudio de aguas Mocoa pro desarrollo de planta de tratamiento.,2023-05-19T00:00:00.000Z,2023-07-01T00:00:00.000Z,Descripción del proyecto 4,5224
5,Estudio de suelos en Mocoa en pro de construcción de edificiós de más de 20 pisos,2023-01-28T00:00:00.000Z,2023-10-29T00:00:00.000Z,Descripción del proyecto 5,5559
6,Análisis de presupuesto municipal con miras a una mejor proyección social,2023-05-11T00:00:00.000Z,2024-02-03T00:00:00.000Z,Descripción del proyecto 6,46265
7,Proyecto construción metro en la ciudad de Mocoa,2023-09-04T00:00:00.000Z,2023-12-11T00:00:00.000Z,Descripción del proyecto 7,38417
8,Proyecto de proyección social en población vulnerable departamento del Putumayo ,2023-12-09T00:00:00.000Z,2024-08-10T00:00:00.000Z,Descripción del proyecto 8,7729
9,Proyecto desarrollo de un laboratorio para el cultivo de plantas medicinales9,2023-04-14T00:00:00.000Z,2023-12-16T00:00:00.000Z,Descripción del proyecto 9,38246
10,Proyecto 10,2023-08-21T00:00:00.000Z,2024-02-21T00:00:00.000Z,Descripción del proyecto 10,16398
